name,id
"DINNER ON LUDLOW",1635
"DINO",1636
"DINO & HARRYS STEAKHOUSE",1637
"DINOSAUR BAR B QUE",1640
"DIRT CANDY",1642
"DIRTY FRENCH",1643
"DISH",1644
"DISTILLED NY",1648
"DISTRICT 12",1649
"DISTRICT TAP HOUSE",1650
"DITCH PLAINS",1651
"DITCH PLAINS UWS",1652
"DIVINE NYC",1655
"DIVINO RESTAURANT NY",1656
"DO HWA",1660
"DOCKS OYSTER BAR AND SEAFOOD GRILL",1662
"DOHYO",1665
"DOJO",1666
"DOLCINO TRATTORIA TOSCANA",1668
"DOMA NA ROHU",1670
"DOMAIN",1671
"DONS BOGAM BBQ & WINE BAR",1676
"DONT TELL MAMA NYC",1677
"DONATELLA",1679
"DONG CHUN HONG",1680
"DOPO EAST",1683
"DOPO TEATRO",1684
"DOPO TEATRO EAST",1685
"DOS CAMINOS",1691
"DOS CAMINOS â MEATPACKING",1692
"DOVETAIL",1697
"DRESSLER",1702
"DRUIDS",1703
"DUKES",1710
"DULCE VIDA CAFE AND RESTAURANT",1712
"DUMONT",1713
"DUO RESTAURANT & LOUNGE",1715
"DYLAN PRIME",1716
"DYLANS CANDY BAR",1717
"E&E GRILL HOUSE",1718
"E SAN THAI",1719
"EAMONNS",1722
"EAST & WEST",1723
"EAST 12TH OSTERIA",1724
"EAST END KITCHEN",1726
"EAST OF EIGHTH RESTAURANT",1728
"EATERY",1734
"EATS",1735
"ECCO",1736
"EDS CHOWDER HOUSE",1740
"EDI AND THE WOLF",1742
"EI8HTSTONE BAR AND RESTAURANT",1749
"EL BOQUERON TAPAS RESTAURANT",1756
"EL BORN",1757
"EL CAMION",1759
"EL CID",1760
"EL COCOTERO",1761
"EL MAGUEY Y LA TUNA",1763
"EL MIO CID",1766
"EL PARADOR",1770
"EL PASO MEXICAN RESTAURANT",1771
"EL PORRON",1775
"EL PORTON MEXICAN RESTAURANT AND BAR",1776
"EL QUINTO PINO",1778
"EL RANCHITO DEL AGAVE",1779
"EL RIO GRANDE",1780
"EL TORO BLANCO",1783
"EL VEZ NEW YORK",1784
"ELEVATE RESTAURANT AND LOUNGE",1788
"ELEVEN B",1789
"ELEVEN MADISON PARK",1790
"ELIZABETHS NEIGHBORHOOD TABLE",1796
"EMBER ROOM",1802
"EMPELLON COCINA",1807
"EMPELLON TAQUERIA",1808
"EMPERADOR ELIAS RESTAURANT",1809
"EMPIRE STEAK HOUSE",1811
"EMPIRE STEAKHOUSE",1812
"EN JAPANESE BRASSERIE",1814
"ENDURO",1819
"ENTWINE",1823
"EOLO",1825
"EPAZOTE",1827
"EPISTROPHY",1829
"ERMINIA RISTORANTE",1840
"ESAN THAI",1842
"ESCA",1843
"ESPERANTO RESTAURANT",1847
"ESSEX",1848
"ESTANCIA 460",1850
"ESTIATORIO MILOS",1853
"ETCETERA ETCETERA",1860
"ETHOS",1861
"ETHOS MEZE",1862
"ETHOS TAVERN",1864
"ETHOS TAVERNA",1865
"ETHOS  AVENUE A",1866
"EUZKADI",1868
"EXCHANGE ALLEY",1869
